id,course_id,title,description,room,start_time,end_time,day_of_week,is_recurring,status,created_at,instructor_images
55555555-5555-5555-5555-555555555501,33333333-3333-3333-3333-333333333301,Introduction to Programming - Lecture,Basic programming concepts and Python fundamentals,Room A101,2025-09-18 13:46:20,2025-09-18 13:47:30,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555502,33333333-3333-3333-3333-333333333301,Introduction to Programming - Lab,Hands-on programming practice,Lab B201,2024-09-16 14:00:00,2024-09-16 16:00:00,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555503,33333333-3333-3333-3333-333333333301,Introduction to Programming - Lecture,Basic programming concepts and Python fundamentals,Room A101,2024-09-18 09:00:00,2024-09-18 10:30:00,3,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555504,33333333-3333-3333-3333-333333333306,AI Fundamentals - Lecture,Introduction to artificial intelligence concepts,Room C301,2024-09-17 11:00:00,2024-09-17 12:30:00,2,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555505,33333333-3333-3333-3333-333333333306,AI Fundamentals - Lab,AI programming exercises and projects,Lab C401,2024-09-19 14:00:00,2024-09-19 16:00:00,4,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555506,33333333-3333-3333-3333-333333333302,Data Structures - Lecture,Advanced data structures and algorithms,Room A201,2024-09-16 11:00:00,2024-09-16 12:30:00,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555507,33333333-3333-3333-3333-333333333302,Data Structures - Lab,Implementation of data structures,Lab B301,2024-09-18 14:00:00,2024-09-18 16:00:00,3,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555508,33333333-3333-3333-3333-333333333307,Machine Learning - Lecture,ML algorithms and applications,Room C201,2024-09-17 09:00:00,2024-09-17 10:30:00,2,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555509,33333333-3333-3333-3333-333333333307,Machine Learning - Project Workshop,Hands-on ML projects,Lab C501,2024-09-19 11:00:00,2024-09-19 13:00:00,4,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555510,33333333-3333-3333-3333-333333333325,Web Dev Fundamentals - Lecture,"HTML, CSS, JavaScript basics",Room D101,2024-09-16 14:00:00,2024-09-16 15:30:00,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555511,33333333-3333-3333-3333-333333333325,Web Dev Fundamentals - Lab,Building web pages and interactive elements,Lab D201,2024-09-18 09:00:00,2024-09-18 11:00:00,3,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555512,33333333-3333-3333-3333-333333333322,Database Design - Lecture,Relational database concepts and SQL,Room E101,2024-09-17 14:00:00,2024-09-17 15:30:00,2,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555513,33333333-3333-3333-3333-333333333322,Database Design - Lab,Hands-on database creation and queries,Lab E201,2024-09-19 09:00:00,2024-09-19 11:00:00,4,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555514,33333333-3333-3333-3333-333333333318,Cybersecurity Intro - Lecture,Security fundamentals and threat analysis,Room F101,2024-09-16 16:00:00,2024-09-16 17:30:00,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555515,33333333-3333-3333-3333-333333333318,Cybersecurity Intro - Lab,Security tools and penetration testing,Lab F201,2024-09-18 16:00:00,2024-09-18 18:00:00,3,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555516,33333333-3333-3333-3333-333333333314,Software Engineering - Lecture,SDLC and project management,Room G101,2024-09-17 16:00:00,2024-09-17 17:30:00,2,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555517,33333333-3333-3333-3333-333333333314,Software Engineering - Workshop,Agile development and team projects,Lab G201,2024-09-19 16:00:00,2024-09-19 18:00:00,4,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555518,33333333-3333-3333-3333-333333333329,System Admin - Lecture,Linux/Windows administration,Room H101,2024-09-16 11:00:00,2024-09-16 12:30:00,1,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555519,33333333-3333-3333-3333-333333333329,System Admin - Lab,Server configuration and management,Lab H201,2024-09-18 11:00:00,2024-09-18 13:00:00,3,true,scheduled,2025-09-17 09:34:30.441587,
55555555-5555-5555-5555-555555555520,33333333-3333-3333-3333-333333333310,Statistics - Lecture,Statistical methods for data analysis,Room I101,2024-09-17 11:00:00,2024-09-17 12:30:00,2,true,scheduled,2025-09-17 09:34:30.441587,
