id,title,description,course_id,creator_id,status,due_date,start_date,progress_percentage,team_size,is_group_project,created_at,updated_at
99999999-9999-9999-9999-999999999901,Personal AI Assistant,Develop a personal AI assistant using natural language processing to help with daily tasks and scheduling.,33333333-3333-3333-3333-333333333308,22222222-2222-2222-2222-222222222116,in_progress,2024-12-15 23:59:00,2024-09-01 00:00:00,65,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999902,E-commerce Website,"Full-stack e-commerce platform with payment integration, user accounts, and admin dashboard.",33333333-3333-3333-3333-333333333328,22222222-2222-2222-2222-222222222117,in_progress,2024-11-30 23:59:00,2024-08-15 00:00:00,78,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999903,Cybersecurity Toolkit,Comprehensive security toolkit with vulnerability scanning and penetration testing tools.,33333333-3333-3333-3333-333333333320,22222222-2222-2222-2222-222222222113,in_progress,2024-12-01 23:59:00,2024-09-10 00:00:00,42,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999904,Data Visualization Dashboard,Interactive dashboard for data analysis and visualization using D3.js and Python backends.,33333333-3333-3333-3333-333333333312,22222222-2222-2222-2222-222222222120,in_progress,2024-11-15 23:59:00,2024-08-20 00:00:00,55,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999905,Mobile Learning App,Educational mobile application with gamification for computer science concepts.,33333333-3333-3333-3333-333333333317,22222222-2222-2222-2222-222222222122,in_progress,2024-12-10 23:59:00,2024-09-05 00:00:00,38,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999906,Smart Campus Management System,"Comprehensive campus management platform integrating student services, facility booking, and resource management.",33333333-3333-3333-3333-333333333317,22222222-2222-2222-2222-222222222111,in_progress,2024-12-20 23:59:00,2024-09-01 00:00:00,72,4,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999907,Blockchain Voting System,Secure and transparent voting system using blockchain technology for student elections.,33333333-3333-3333-3333-333333333315,22222222-2222-2222-2222-222222222114,in_progress,2024-11-25 23:59:00,2024-08-25 00:00:00,60,3,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999908,AI-Powered Study Assistant,Collaborative AI study tool that helps students with personalized learning paths and peer collaboration.,33333333-3333-3333-3333-333333333307,22222222-2222-2222-2222-222222222110,in_progress,2024-12-05 23:59:00,2024-09-15 00:00:00,45,5,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999909,Distributed Database System,High-performance distributed database system with automatic sharding and replication.,33333333-3333-3333-3333-333333333323,22222222-2222-2222-2222-222222222115,in_progress,2024-12-18 23:59:00,2024-08-30 00:00:00,35,3,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999910,IoT Security Framework,Comprehensive security framework for Internet of Things devices with threat detection.,33333333-3333-3333-3333-333333333321,22222222-2222-2222-2222-222222222113,in_progress,2024-12-12 23:59:00,2024-09-08 00:00:00,50,4,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999911,Library Management System,"Complete library management system with book tracking, member management, and reporting.",33333333-3333-3333-3333-333333333322,22222222-2222-2222-2222-222222222107,completed,2024-08-30 23:59:00,2024-06-01 00:00:00,100,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999912,Weather Prediction Model,Machine learning model for weather prediction using historical data and real-time APIs.,33333333-3333-3333-3333-333333333307,22222222-2222-2222-2222-222222222112,completed,2024-08-15 23:59:00,2024-05-15 00:00:00,100,1,false,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999913,Network Security Scanner,Automated network security scanning tool with vulnerability assessment capabilities.,33333333-3333-3333-3333-333333333319,22222222-2222-2222-2222-222222222121,completed,2024-07-30 23:59:00,2024-05-01 00:00:00,100,2,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999914,AR/VR Learning Experience,Immersive learning experience using augmented and virtual reality for computer science education.,33333333-3333-3333-3333-333333333308,22222222-2222-2222-2222-222222222118,not_started,2025-01-15 23:59:00,2024-11-01 00:00:00,0,3,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
99999999-9999-9999-9999-999999999915,Cloud Migration Strategy,Comprehensive strategy and tools for migrating legacy systems to cloud infrastructure.,33333333-3333-3333-3333-333333333330,22222222-2222-2222-2222-222222222119,not_started,2025-02-01 23:59:00,2024-12-01 00:00:00,0,2,true,2025-09-17 09:34:30.441587,2025-09-17 09:34:30.441587
